City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Praya,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
6,Urumqi,CN,74.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
7,Lagoa,PT,73.71,broken clouds,39.05,-27.9833,Casa Das Faias
10,Fomboni,KM,77.52,clear sky,-12.28,43.7425,Auberge les abou
12,Rikitea,PF,74.08,clear sky,-23.1203,-134.9692,People ThankYou
13,Pacific Grove,US,86.81,clear sky,36.6177,-121.9166,Lovers Point Inn
17,Chute-Aux-Outardes,CA,88.11,clear sky,49.1168,-68.399,Camp St-Paul Gite Plein-Air
18,Jamestown,US,83.52,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
19,Carballo,ES,80.76,few clouds,43.213,-8.691,Pazo do Souto
23,Magole,TZ,72.88,scattered clouds,-6.3667,37.3667,Juma lubelwa
24,Hilo,US,78.12,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
27,Mandera,KE,87.33,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
30,Kapoeta,SS,73.72,broken clouds,4.7717,33.5903,Eastgate Hotel
36,Panama City,PA,79.43,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
41,Atuona,PF,77.29,clear sky,-9.8,-139.0333,Villa Enata
44,Biltine,TD,75.18,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
46,Fukue,JP,77.95,heavy intensity rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
55,Miguel Hidalgo,MX,71.53,few clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
57,Bodden Town,KY,89.01,scattered clouds,19.2833,-81.25,Will T Place
62,Paciran,ID,76.55,clear sky,-6.8767,112.3761,Tanjung Kodok Beach Resort
64,Tiarei,PF,80.62,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
67,Kavieng,PG,81.1,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
70,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
79,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
80,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
81,Sao Filipe,CV,77.77,few clouds,14.8961,-24.4956,Hotel Xaguate
85,Hirara,JP,82.0,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
86,Dapaong,TG,73.99,overcast clouds,10.8639,0.205,Hotel Caroli
89,Bereda,ES,74.41,clear sky,43.2686,-7.5406,Pazo de Verdes
90,Meadow Lake,US,87.82,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
95,Larap,PH,78.4,clear sky,14.299,122.6504,Montemayor Cove
96,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
98,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
99,Amilly,FR,80.06,overcast clouds,47.9728,2.7719,Hôtel Kyriad Montargis Amilly
102,Namuac,PH,77.7,light rain,18.6109,121.1657,Mlin Hotel
103,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
104,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
106,Celestun,MX,87.71,broken clouds,20.8667,-90.4,Posada Lilia
109,Torbay,CA,71.28,broken clouds,47.6666,-52.7314,Gallows Cove
115,Bayeux,BR,83.03,few clouds,-7.125,-34.9322,Infinity Motel
117,Faanui,PF,78.82,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
119,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.0833,Scoop Guest House
120,Minot,US,79.79,broken clouds,48.2325,-101.2963,Noble Inn
121,Banga,PH,73.83,overcast clouds,6.4239,124.7783,Fortune Field Resort
123,Butaritari,KI,81.97,light rain,3.0707,172.7902,Isles Sunset Lodge
124,Saint-Philippe,RE,71.15,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
125,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
126,Guerrero Negro,MX,84.79,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
128,Dingle,PH,76.6,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
131,Da Nang,VN,86.05,scattered clouds,16.0678,108.2208,Sun River Hotel
138,Alyangula,AU,73.27,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
143,Vila Franca Do Campo,PT,75.61,few clouds,37.7167,-25.4333,Pestana Bahia Praia
148,Cockburn Town,TC,83.12,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
154,Tura,IN,74.66,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
157,Natal,BR,81.25,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
159,Nogales,MX,83.71,clear sky,31.3086,-110.9422,Hotel Marqués De Cima
160,Nouadhibou,MR,75.18,sand,20.931,-17.0347,El Medina
165,Rocky Mountain House,CA,82.15,clear sky,52.3668,-114.9188,Walking Eagle Inn & Lodge
167,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
168,Bengkulu,ID,75.24,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
169,Hami,CN,85.46,broken clouds,42.8,93.45,Laoyutang Resort
170,Lorengau,PG,81.46,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
171,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
176,Chapais,CA,74.98,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
178,Panuco,MX,87.04,few clouds,22.05,-98.1667,Hotel Plaza
186,Muroto,JP,79.83,light rain,33.2833,134.15,Oota Ryokan
188,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
189,Darnah,LY,79.83,clear sky,32.767,22.6367,فندق الفردوس
190,Kailua,US,82.38,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
194,Kazanskaya,RU,70.3,overcast clouds,45.4106,40.4361,Tikhiy Dvorik
198,Shibata,JP,71.08,overcast clouds,37.95,139.3333,Shibata Daiichi Hotel
200,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
203,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
206,Oussouye,SN,87.98,overcast clouds,12.485,-16.5469,Auberge du Routard
211,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
213,Takoradi,GH,76.78,overcast clouds,4.8845,-1.7554,Raybow International Hotel
218,Paka,MY,78.73,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
221,Sinnamary,GF,81.86,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
224,Alexandria,EG,81.14,scattered clouds,31.2156,29.9553,Royal Crown Hotel
226,Amahai,ID,76.6,few clouds,-3.3333,128.9167,HOTEL ISABELA
227,Hasaki,JP,77.4,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
231,Nautla,MX,87.85,few clouds,20.2167,-96.7833,Casa Blanca
233,Banda Aceh,ID,77.5,overcast clouds,5.5577,95.3222,Sulthan Hotel International
235,Sao Jose Da Coroa Grande,BR,76.66,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
237,Nishihara,JP,80.65,broken clouds,26.1842,127.7558,Minshuku Agaihama
238,Nagaur,IN,86.9,overcast clouds,27.2,73.7333,Ranvas Nagaur
240,Katsuura,JP,78.91,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
246,Sola,VU,77.67,broken clouds,-13.8833,167.55,Leumerus Bungalows
248,Tindwari,IN,86.0,overcast clouds,25.6167,80.5333,Vikash tea stall *S.S.P*
250,Dao,PH,76.55,overcast clouds,11.3937,122.6856,Mr. Rolando Tolores Jr.
254,West Wendover,US,88.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
255,Ixtapa,MX,87.22,few clouds,20.7,-105.2,Hotel Plaza Providencia
256,Tateyama,JP,78.82,light rain,34.9833,139.8667,Tateyama Seaside Hotel
257,Prado,BR,74.48,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
258,Keshod,IN,80.15,overcast clouds,21.3,70.25,Hotel New Rajdhani
259,Luau,AO,73.85,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
261,Surt,LY,82.29,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
262,Bom Jardim,BR,82.74,overcast clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
263,Linhares,BR,77.77,overcast clouds,-19.3911,-40.0722,Hotel Conceição
264,Manicore,BR,85.95,clear sky,-5.8092,-61.3003,Hotel Durval
265,Porto Tolle,IT,87.82,broken clouds,44.9497,12.3245,Klaus sas di Boscolo Claudio & c.
270,Ha Tinh,VN,80.31,overcast clouds,18.3333,105.9,Phú Quý
271,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
272,Bosaso,SO,89.6,clear sky,11.2842,49.1816,Red Sea Hotel
274,La Asuncion,VE,74.93,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
276,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
277,Slave Lake,CA,75.18,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
285,Voyvozh,RU,70.09,broken clouds,62.892,54.9635,Gostinitsa Yakor'
287,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
288,Shimoda,JP,78.91,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
289,Cayenne,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
293,Baturaja,ID,72.99,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
296,Faya,SA,71.71,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
297,Auki,SB,75.83,overcast clouds,-8.7676,160.7034,Auki Motel
299,Qui Nhon,VN,80.31,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
302,Padang,ID,77.49,overcast clouds,-0.9492,100.3543,Mercure Padang
309,Axim,GH,76.42,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
314,Pangkalanbuun,ID,74.16,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
315,Luanda,AO,71.13,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
318,Omboue,GA,75.97,broken clouds,-1.5746,9.2618,Hotel Olako
322,Vila,PT,72.48,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
327,Batticaloa,LK,81.84,overcast clouds,7.7102,81.6924,Grand Star Guest House
333,Kamyshevatskaya,RU,70.0,heavy intensity rain,46.4132,37.9563,Gostevoy Dom Lotos-Lend
334,Magaria,NE,82.38,broken clouds,12.9983,8.9099,Chez Honorable Chapiou
337,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
338,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
340,Eyl,SO,76.6,broken clouds,7.9803,49.8164,Amiin Hotel
347,Harper,LR,76.35,overcast clouds,4.375,-7.7169,Screensaver
350,Belgrade,RS,83.39,clear sky,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
351,Gigmoto,PH,81.18,scattered clouds,13.7796,124.39,Cj's Travellers Inn
355,Bandarbeyla,SO,76.06,few clouds,9.4942,50.8122,JABIR HOTEL
359,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
360,Kudahuvadhoo,MV,82.63,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
362,Salinas,US,87.21,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
364,Hobyo,SO,76.64,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
366,Port Blair,IN,82.36,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
367,Rosetta,EG,80.42,clear sky,31.4044,30.4164,Green Valley
374,Lat Yao,TH,77.02,light rain,15.751,99.7893,หจก. ลาดยาวการเกษตร
375,Lethem,GY,79.48,light rain,3.3803,-59.7968,Savannah Inn
376,Naliya,IN,81.18,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
378,Sydney Mines,CA,87.55,scattered clouds,46.2367,-60.2177,At The Harbourfront B&B Inc
380,Orocue,CO,85.39,light rain,4.7912,-71.3354,Hotel Brisas de San Miguel
381,Anaco,VE,82.26,overcast clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
382,Cuamba,MZ,74.14,broken clouds,-14.8031,36.5372,Hotel Vision
383,Asfi,MA,75.94,broken clouds,32.2994,-9.2372,Hôtel Abda
386,Rosiile,RO,77.34,clear sky,44.8667,23.9333,Cămin Cultural
387,Lasa,IT,77.88,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
390,Muborak,UZ,76.91,clear sky,39.2553,65.1528,Muborak temiryoʻl vakzali
394,Sabang,ID,80.33,light rain,5.8933,95.3214,Hotel Citra
396,Vallenar,CL,73.99,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
397,Iracoubo,GF,83.25,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
399,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
400,Valle De Allende,MX,79.81,overcast clouds,26.9333,-105.4,Hotel Meson de San Bartolome
401,Bonthe,SL,75.79,light rain,7.5264,-12.505,Bonthe Holiday Village
402,La Ronge,CA,71.85,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
407,Campobello Di Mazara,IT,85.86,clear sky,37.6358,12.7443,BED AND BREAKFAST CASA VACANZA DA MATI CAMPOBELLO DI MAZARA
408,Canon City,US,85.03,clear sky,38.441,-105.2424,Travel Inn Motel
413,Road Town,VG,89.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
414,Katsikas,GR,78.57,broken clouds,39.6225,20.8875,FILOKALIA HOTEL
419,Lata,PT,76.35,clear sky,40.1629,-8.3327,Casa Maquia
421,Vonyarcvashegy,HU,82.81,broken clouds,46.7574,17.3117,Zenit Hotel Balaton
423,Kindersley,CA,82.42,few clouds,51.4668,-109.1682,Kindersley Inn
424,Sechura,PE,75.69,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
425,Tual,ID,80.24,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
426,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
429,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
433,Kalmunai,LK,81.68,overcast clouds,7.4167,81.8167,VS Villa
436,Sorong,ID,77.68,broken clouds,-0.8833,131.25,waigo splash hotel
439,Half Moon Bay,US,87.82,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
443,Sobreira,PT,80.76,clear sky,41.5237,-7.8023,Quinta de Santo Aleixo
445,Jinchang,CN,73.56,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
447,Kita,ML,78.67,light rain,13.0349,-9.4895,Hôtel Chat Rouge
448,Sur,OM,87.15,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
450,Aksu,CN,77.95,light rain,41.1231,80.2644,Pudong Holiday Hotel
452,Camocim,BR,83.44,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
453,Diffa,NE,83.5,few clouds,13.3154,12.6113,ProDAF/Diffa
455,Buala,SB,77.9,light rain,-8.145,159.5921,Maringe Lagoon Lodge
456,Gat,IL,84.88,clear sky,31.61,34.7642,OlusHome
457,Namatanai,PG,78.06,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
460,Trincomalee,LK,80.65,broken clouds,8.5711,81.2335,Welcombe Hotel
461,Ankang,CN,72.66,overcast clouds,32.68,109.0172,安琪酒店
462,Benguela,AO,70.45,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
463,Mersing,MY,75.11,overcast clouds,2.4312,103.8405,Timotel Hotel
464,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
467,Corralillo,CU,86.47,light rain,22.9819,-80.5856,Hostal De Pedri
471,Praia Da Vitoria,PT,77.25,scattered clouds,38.7333,-27.0667,Hotel Branco I
472,Ostfildern,DE,78.75,few clouds,48.7267,9.2514,Centro Park Hotel Stuttgart
475,Kandrian,PG,75.24,broken clouds,-6.2167,149.55,Kandrian Station
476,Cheney,US,88.77,smoke,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
478,Seoul,KR,76.6,light rain,37.5683,126.9778,롯데호텔 서울
480,Erenhot,CN,71.37,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
481,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
482,Thana,PK,80.19,broken clouds,34.6369,72.0739,Skeikh Malli Baba Hostel UOM
484,Singapore,SG,80.55,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
486,Aquiraz,BR,84.29,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
487,Sao Joao Da Barra,BR,75.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
492,Xiaoweizhai,CN,72.05,moderate rain,26.1903,107.5125,Karst Youth Hostel
494,The Valley,AI,87.66,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
497,Muli,MV,82.87,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
498,Great Falls,US,82.69,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
499,Mahina,PF,80.37,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
501,Nantou,TW,73.04,overcast clouds,23.8342,120.927,The Lalu Hotel
503,Lang Son,VN,77.38,overcast clouds,21.8333,106.7333,Khai Nga Hotel
507,Port Hawkesbury,CA,87.91,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
508,Tumpat,MY,76.98,few clouds,6.1978,102.171,Baan Tanyong B&B
509,Boa Vista,BR,78.78,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
510,Zhangye,CN,72.12,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
512,Hun,LY,89.06,clear sky,29.1268,15.9477,Alrwasi Hotel
515,Kota Kinabalu,MY,76.98,moderate rain,5.9749,116.0724,Gaya Centre Hotel
517,Harwich,GB,70.77,scattered clouds,51.9419,1.2844,Premier Inn Harwich hotel
518,Kieta,PG,78.67,light rain,-6.2167,155.6333,Uruna Bay Retreat
519,Hay River,CA,75.18,broken clouds,60.8156,-115.7999,Ptarmigan Inn
520,Shingu,JP,79.92,moderate rain,33.7333,135.9833,Shingu UI Hotel
521,Naron,ES,77.85,clear sky,43.5167,-8.1528,Marcial
527,Jieshi,CN,81.55,overcast clouds,22.8134,115.8257,Yuehai Hotel
536,Jatibonico,CU,81.07,moderate rain,21.9419,-79.17,"Hostel ""Los Tomasos"""
539,Anloga,GH,79.02,overcast clouds,5.7947,0.8973,Pin Drop Hotel
540,Colares,PT,85.68,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
541,Saint Anthony,US,79.48,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
543,Odweyne,SO,84.42,overcast clouds,9.4092,45.064,Eng Hiirey House
546,Pokaran,IN,87.82,broken clouds,26.9167,71.9167,Motel Pokaran - RTDC
547,Rabo De Peixe,PT,74.71,few clouds,37.8,-25.5833,Quinta das Giestas
549,Amalapuram,IN,79.32,overcast clouds,16.5833,82.0167,swayamprabha service apartments
555,Mizdah,LY,85.96,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
559,San Carlos,VE,87.84,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
562,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
563,Pemangkat,ID,76.78,overcast clouds,1.1667,108.9667,Ramah Kost KITA
564,Killam,CA,84.15,clear sky,52.7834,-111.8518,Wagon Wheel Motel
571,Dahanu,IN,80.33,overcast clouds,19.9667,72.7333,Pearline Beach Villas
572,Sibolga,ID,76.19,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
573,Paragominas,BR,85.68,overcast clouds,-2.9667,-47.4833,INOVA
574,Candolim,IN,78.8,broken clouds,15.5181,73.7626,Resort Terra Paraiso
575,Ternate,ID,79.75,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
576,Coahuayana,MX,85.48,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
578,Am Timan,TD,73.65,moderate rain,11.0297,20.2827,Palais du chef Canton Salamt
579,Kavaratti,IN,81.5,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
581,Port Victoria,KE,70.97,light rain,0.0939,33.9756,Homepark motel
582,Laem Sing,TH,80.47,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
585,Hosbach,DE,78.78,scattered clouds,50.0,9.2,Landhotel Klingerhof GmbH Hösbach
589,Sheridan,US,83.32,clear sky,44.8333,-106.9173,Comfort Inn & Suites
590,Kushima,JP,77.83,overcast clouds,31.4583,131.2333,Hanaoka
591,Gizo,SB,80.4,scattered clouds,-8.103,156.8419,Imagination Island
595,Samarai,PG,76.19,moderate rain,-10.6167,150.6667,Nuli Sapi
597,Challans,FR,77.92,clear sky,46.8436,-1.8749,Citotel Le Challans
598,Dubti,ET,89.02,light rain,11.7361,41.0853,degu Shiferaw
600,Zhuhai,CN,85.05,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
601,Suruc,TR,84.4,broken clouds,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
603,Colombo,LK,80.55,overcast clouds,6.9319,79.8478,Galle Face Hotel
604,Garowe,SO,77.79,few clouds,8.4054,48.4845,Curubo Hotel
606,Kerman,IR,80.46,clear sky,30.2832,57.0788,هتل آپارتمان آسام
611,Veraval,IN,81.37,overcast clouds,20.9,70.3667,Lords Inn Somnath
615,Monroe,US,87.66,overcast clouds,43.1501,-77.6831,"Staybridge Suites Rochester University, an IHG Hotel"
617,Norsup,VU,72.77,clear sky,-16.0667,167.3833,Nabelchel Bungalows
622,Kimbe,PG,72.79,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
623,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
624,Ponta Delgada,PT,75.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
625,Zehdenick,DE,80.55,overcast clouds,52.9785,13.3317,Grundmann Pension Lindenhof
626,Bagrami,AF,78.78,clear sky,34.4938,69.2743,SH++ZA
627,Saint-Francois,FR,81.84,clear sky,46.4154,3.9054,Manoir Du Bonheur
628,Tianpeng,CN,79.27,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
634,Biak,ID,75.15,broken clouds,-0.9131,122.8766,Penginapan Kim
637,Bucerias,MX,87.98,few clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
639,Miramar,US,90.0,scattered clouds,25.9873,-80.2323,Miramar
640,Boysun,UZ,71.24,clear sky,38.2061,67.1986,Gaza Hotel
644,Bethlehem,BR,77.04,moderate rain,-1.4558,-48.5044,Mercure Belém Boulevard Hotel
645,La Rioja,ES,85.78,clear sky,42.25,-2.5,Casa Concejos
646,Berekum,GH,70.99,light rain,7.4534,-2.584,Nyame Nnae Hotel
647,Ambilobe,MG,70.48,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
648,Acarau,BR,83.5,scattered clouds,-2.8856,-40.12,castelo pizzaria
652,Mahon,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
653,Carman,CA,72.72,clear sky,49.4992,-98.0016,"Bell Aura Bed, Breakfast & Bistro"
656,Agen,FR,83.55,clear sky,44.2,0.6333,Appart'City Agen Centre - Appart Hôtel
657,Gurmatkal,IN,74.93,light rain,16.8667,77.4,Patange Enterprises
658,Aba,NG,76.59,scattered clouds,5.1066,7.3667,Rosies Hotel Limited
660,Akyab,MM,81.23,overcast clouds,20.15,92.9,Hotel Memory
662,Mae Sai,TH,78.12,light rain,20.4335,99.8762,Piyaporn Hill Paradise Hotel
664,Kutum,SD,79.3,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
665,Koani,TZ,76.62,broken clouds,-6.1333,39.2833,Northcliff BnB
667,Ios,GR,82.06,clear sky,36.7333,25.2833,Ios Palace Hotel & Spa
668,Palestina,PS,76.42,clear sky,31.9216,35.2033,Grand Park Hotel
672,Daru,PG,76.64,overcast clouds,-9.0763,143.2092,Daru Lodge
673,Rio Pomba,BR,80.56,scattered clouds,-21.2747,-43.1792,San Marino Hotel
675,Skegness,GB,72.37,few clouds,53.1436,0.3363,The Royal Hotel
676,Fare,PF,78.62,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
678,Inirida,CO,81.23,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
679,Vanimo,PG,76.59,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
680,San Pedro,PH,81.63,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
681,Along,IN,74.84,overcast clouds,28.1667,94.7667,Hotel West
686,Vincennes,FR,81.93,clear sky,48.85,2.4333,Aparthotel Adagio Paris Vincennes
687,Mubi,NG,72.81,light rain,10.2676,13.2644,Hotel
