City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,92.8,58,70,7.02,broken clouds
1,Norman Wells,CA,65.282,-126.8329,62.64,77,75,4.61,broken clouds
2,Clyde River,CA,70.4692,-68.5914,41.23,93,75,17.27,broken clouds
3,Ushuaia,AR,-54.8,-68.3,37.06,93,75,12.66,drizzle
4,Praya,CV,14.9215,-23.5087,84.74,54,20,13.8,few clouds
5,Mtsensk,RU,53.2766,36.5733,61.27,71,19,6.06,few clouds
6,Urumqi,CN,43.801,87.6005,74.35,41,0,2.24,clear sky
7,Lagoa,PT,39.05,-27.9833,73.71,79,81,1.74,broken clouds
8,Mar Del Plata,AR,-38.0023,-57.5575,53.62,54,0,10.36,clear sky
9,Nikolskoye,RU,59.7035,30.7861,67.01,79,2,5.53,clear sky
10,Fomboni,KM,-12.28,43.7425,77.52,75,0,11.95,clear sky
11,Airai,TL,-8.9266,125.4092,56.23,52,5,3.65,clear sky
12,Rikitea,PF,-23.1203,-134.9692,74.08,78,0,7.09,clear sky
13,Pacific Grove,US,36.6177,-121.9166,86.81,82,1,5.99,clear sky
14,Tadine,NC,-21.55,167.8833,66.18,67,100,13,overcast clouds
15,Busselton,AU,-33.65,115.3333,48.09,87,21,2.35,few clouds
16,Port Hardy,CA,50.6996,-127.4199,66.38,77,20,3.44,few clouds
17,Chute-Aux-Outardes,CA,49.1168,-68.399,88.11,69,1,16.11,clear sky
18,Jamestown,US,42.097,-79.2353,83.52,85,40,3,light rain
19,Carballo,ES,43.213,-8.691,80.76,92,18,4.99,few clouds
20,Barrow,US,71.2906,-156.7887,37.42,87,90,11.5,overcast clouds
21,Tiksi,RU,71.6872,128.8694,43.54,76,100,5.99,overcast clouds
22,Ancud,CL,-41.8697,-73.8203,45.93,81,100,4.23,overcast clouds
23,Magole,TZ,-6.3667,37.3667,72.88,64,36,5.61,scattered clouds
24,Hilo,US,19.7297,-155.09,78.12,83,40,5.75,light rain
25,Bethel,US,41.3712,-73.414,96.1,58,20,1.01,few clouds
26,Bluff,NZ,-46.6,168.3333,41.81,69,100,29.73,overcast clouds
27,Mandera,KE,3.9366,41.867,87.33,41,100,18.84,overcast clouds
28,Mataura,NZ,-46.1927,168.8643,41.49,95,100,11.43,moderate rain
29,Hobart,AU,-42.8794,147.3294,47.05,74,45,3,scattered clouds
30,Kapoeta,SS,4.7717,33.5903,73.72,75,81,5.08,broken clouds
31,Severo-Kurilsk,RU,50.6789,156.125,52.86,92,13,7.27,few clouds
32,Saldanha,ZA,-33.0117,17.9442,51.85,64,0,10.36,clear sky
33,Lompoc,US,34.6391,-120.4579,92.01,58,1,3.44,clear sky
34,Yellowknife,CA,62.456,-114.3525,64.92,68,75,12.66,broken clouds
35,Olafsvik,IS,64.8945,-23.7142,55.24,84,100,9.53,overcast clouds
36,Panama City,PA,8.9936,-79.5197,79.43,92,40,8.05,scattered clouds
37,Port Alfred,ZA,-33.5906,26.891,56.82,63,100,10.22,overcast clouds
38,Tasiilaq,GL,65.6145,-37.6368,53.76,63,72,7.96,broken clouds
39,Eureka,US,40.8021,-124.1637,67.24,75,92,5.99,overcast clouds
40,Cape Town,ZA,-33.9258,18.4232,54.88,67,0,3,clear sky
41,Atuona,PF,-9.8,-139.0333,77.29,77,10,17.87,clear sky
42,Dunedin,NZ,-45.8742,170.5036,51.8,38,81,4,broken clouds
43,Aklavik,CA,68.2191,-135.0107,43.63,87,90,5.75,light rain
44,Biltine,TD,14.5333,20.9167,75.18,79,56,8.72,broken clouds
45,Geraldton,AU,-28.7667,114.6,45.01,93,0,8.05,clear sky
46,Fukue,JP,32.6881,128.8419,77.95,88,100,16.2,heavy intensity rain
47,Coquimbo,CL,-29.9533,-71.3436,55.13,71,20,11.5,few clouds
48,East London,ZA,-33.0153,27.9116,50.94,93,20,6.91,few clouds
49,Porto Walter,BR,-8.2686,-72.7439,98.24,26,5,2.1,clear sky
50,Chokurdakh,RU,70.6333,147.9167,43.77,75,100,19.46,overcast clouds
51,Aykhal,RU,66,111.5,43.93,93,64,7,broken clouds
52,Kruisfontein,ZA,-34.0033,24.7314,45.88,78,87,3.13,light rain
53,Lebu,CL,-37.6167,-73.65,52.27,70,1,6.82,clear sky
54,Dauphin,CA,51.1494,-100.0502,69.94,32,1,10.36,clear sky
55,Miguel Hidalgo,MX,19.4225,-99.2028,71.53,48,22,5.64,few clouds
56,Berdigestyakh,RU,62.0989,126.6992,61.63,75,35,4.38,scattered clouds
57,Bodden Town,KY,19.2833,-81.25,89.01,69,40,2.3,scattered clouds
58,Massakory,TD,12.996,15.7293,79.12,80,98,6.38,light rain
59,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,75,90,11.5,light rain
60,Hermanus,ZA,-34.4187,19.2345,50.81,78,2,14.52,clear sky
61,Ostersund,SE,63.1792,14.6357,59.45,100,20,2.3,light rain
62,Paciran,ID,-6.8767,112.3761,76.55,88,8,7.09,clear sky
63,Bredasdorp,ZA,-34.5322,20.0403,50.29,81,0,5.75,clear sky
64,Tiarei,PF,-17.5333,-149.3333,80.62,68,89,19.69,overcast clouds
65,Saint George,US,37.1041,-113.5841,100.54,30,1,1.01,clear sky
66,Provideniya,RU,64.3833,-173.3,45.1,74,89,6.55,overcast clouds
67,Kavieng,PG,-2.5744,150.7967,81.1,78,92,10.87,overcast clouds
68,Waycross,US,31.2136,-82.354,93.97,55,75,4.61,broken clouds
69,Freeport,US,40.6576,-73.5832,99.5,55,1,10,clear sky
70,Ribeira Grande,PT,38.5167,-28.7,75.6,88,75,11.5,broken clouds
71,Isla Vista,US,34.4133,-119.861,99.34,68,1,8.05,clear sky
72,Ayan,RU,56.45,138.1667,62.76,74,82,3.15,broken clouds
73,Beloha,MG,-25.1667,45.05,65.64,84,100,15.59,light rain
74,Rosarito,MX,32.3333,-117.0333,95.41,57,0,9.53,clear sky
75,Vaini,TO,-21.2,-175.2,64.56,94,75,4.61,broken clouds
76,Avarua,CK,-21.2078,-159.775,68.05,94,75,3.44,broken clouds
77,Kodiak,US,57.79,-152.4072,56.71,54,1,12.66,clear sky
78,Mount Gambier,AU,-37.8333,140.7667,46.31,100,90,8.05,overcast clouds
79,Cabedelo,BR,-6.9811,-34.8339,83.07,74,10,17.22,clear sky
80,Bathsheba,BB,13.2167,-59.5167,88.41,74,40,16.11,scattered clouds
81,Sao Filipe,CV,14.8961,-24.4956,77.77,74,12,13.04,few clouds
82,Kiruna,SE,67.8557,20.2251,52.72,76,84,4.61,broken clouds
83,Elat,IL,29.5581,34.9482,98.44,18,0,11.5,clear sky
84,Sorland,NO,67.667,12.6934,55.47,84,60,7.14,broken clouds
85,Hirara,JP,24.8,125.2833,82,83,100,22.7,overcast clouds
86,Dapaong,TG,10.8639,0.205,73.99,86,97,5.79,overcast clouds
87,Ahipara,NZ,-35.1667,173.1667,53.62,74,100,9.62,overcast clouds
88,Emerald,AU,-23.5333,148.1667,57.34,88,1,6.91,clear sky
89,Bereda,ES,43.2686,-7.5406,74.41,88,1,5.1,clear sky
90,Meadow Lake,US,34.8014,-106.5436,87.82,47,100,11.43,overcast clouds
91,Lensk,RU,60.7253,114.9278,63.63,86,15,2.95,few clouds
92,New Norfolk,AU,-42.7826,147.0587,46.71,71,59,1.99,broken clouds
93,Gweta,BW,-20.1833,25.2333,66.13,50,0,22.66,clear sky
94,Neiafu,TO,-18.65,-173.9833,68.68,83,40,0,scattered clouds
95,Larap,PH,14.299,122.6504,78.4,89,4,3.47,clear sky
96,Salalah,OM,17.0151,54.0924,77.09,88,90,6.91,overcast clouds
97,Punta Arenas,CL,-53.15,-70.9167,51.91,62,40,29.93,light rain
98,Puerto Ayora,EC,-0.7393,-90.3518,76.96,71,76,11.52,broken clouds
99,Amilly,FR,47.9728,2.7719,80.06,67,86,3.71,overcast clouds
100,Thompson,CA,55.7435,-97.8558,62.76,48,75,17.27,broken clouds
101,Visnes,NO,59.3556,5.2242,60.85,82,75,8.05,broken clouds
102,Namuac,PH,18.6109,121.1657,77.7,82,31,5.03,light rain
103,Tautira,PF,-17.7333,-149.15,80.62,68,100,21.72,overcast clouds
104,Acapulco,MX,16.8634,-99.8901,87.62,66,75,6.91,broken clouds
105,Belyy Yar,RU,53.6039,91.3903,64.29,94,75,6.71,light intensity shower rain
106,Celestun,MX,20.8667,-90.4,87.71,62,58,14.32,broken clouds
107,Cabo San Lucas,MX,22.8909,-109.9124,92.52,70,17,4,few clouds
108,Vestmanna,FO,62.1564,-7.1664,56.32,77,90,6.91,overcast clouds
109,Torbay,CA,47.6666,-52.7314,71.28,86,75,17.27,broken clouds
110,Asau,RO,46.4333,26.4,63.52,78,28,2.17,scattered clouds
111,Alice Springs,AU,-23.7,133.8833,40.55,42,0,1.14,clear sky
112,Severodvinsk,RU,64.5635,39.8302,60.91,98,100,11.34,overcast clouds
113,Qaanaaq,GL,77.484,-69.3632,44.1,55,0,6.76,clear sky
114,Kachiry,KZ,53.0675,76.1036,58.21,57,100,8.66,overcast clouds
115,Bayeux,BR,-7.125,-34.9322,83.03,61,20,17.27,few clouds
116,Marawi,PH,7.9986,124.2928,66.65,92,100,2.73,moderate rain
117,Faanui,PF,-16.4833,-151.75,78.82,68,83,11.03,broken clouds
118,Batemans Bay,AU,-35.7167,150.1833,42.91,76,0,4.56,clear sky
119,Hithadhoo,MV,-0.6,73.0833,82.24,74,90,13.04,overcast clouds
120,Minot,US,48.2325,-101.2963,79.79,28,75,10,broken clouds
121,Banga,PH,6.4239,124.7783,73.83,96,100,1.16,overcast clouds
122,Pevek,RU,69.7008,170.3133,38.16,99,100,10.33,overcast clouds
123,Butaritari,KI,3.0707,172.7902,81.97,76,95,10.45,light rain
124,Saint-Philippe,RE,-21.3585,55.7679,71.15,78,2,5.66,clear sky
125,Kapaa,US,22.0752,-159.319,80.92,76,40,3,light rain
126,Guerrero Negro,MX,27.9769,-114.0611,84.79,60,6,11.32,clear sky
127,Dongsheng,CN,39.8161,109.9776,64.85,69,0,10.11,clear sky
128,Dingle,PH,10.9995,122.6711,76.6,83,65,1.43,broken clouds
129,Carnarvon,AU,-24.8667,113.6333,51.87,66,0,9.22,clear sky
130,Bambous Virieux,MU,-20.3428,57.7575,68.22,88,20,6.91,few clouds
131,Da Nang,VN,16.0678,108.2208,86.05,89,40,2.3,scattered clouds
132,Oranjemund,NA,-28.55,16.4333,55.99,64,0,16.69,clear sky
133,Barguzin,RU,53.6167,109.6167,60.94,66,36,4.09,scattered clouds
134,Dikson,RU,73.5069,80.5464,43.95,100,100,1.63,overcast clouds
135,Portland,US,45.5234,-122.6762,94.21,53,75,3.44,smoke
136,Reconquista,AR,-29.15,-59.65,66.99,31,2,6.8,clear sky
137,Rawson,AR,-43.3002,-65.1023,65.84,20,0,9.71,clear sky
138,Alyangula,AU,-13.8483,136.4192,73.27,83,26,4.61,scattered clouds
139,Tawang,IN,27.5833,91.8667,56.43,93,100,0.58,overcast clouds
140,San Rafael Del Sur,NI,11.8485,-86.4384,90.57,47,100,2.26,overcast clouds
141,Taoudenni,ML,22.6783,-3.9836,106.68,11,7,12.39,clear sky
142,Sovetskiy,RU,61.3614,63.5842,59.99,70,96,5.7,overcast clouds
143,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,73,15,9.22,few clouds
144,Mocuba,MZ,-16.8392,36.9856,69.48,83,0,6.87,clear sky
145,Portree,GB,57.4129,-6.1942,56.86,88,100,19.01,overcast clouds
146,Atar,MR,20.5169,-13.0499,108.19,8,46,18.63,scattered clouds
147,Tairua,NZ,-37.0167,175.85,52.09,84,3,9.22,clear sky
148,Cockburn Town,TC,21.4612,-71.1419,83.12,76,100,18.61,overcast clouds
149,Castro,BR,-24.7911,-50.0119,50.58,98,100,4.92,overcast clouds
150,Hervey Bay,AU,-25.2986,152.8535,60.04,78,0,5.37,clear sky
151,Saint-Augustin,CA,51.226,-58.6502,67.06,94,100,7.11,overcast clouds
152,Kaitangata,NZ,-46.2817,169.8464,42.66,93,100,16.22,light rain
153,Arlit,NE,18.7369,7.3853,97.29,27,5,10.8,clear sky
154,Tura,IN,25.5198,90.2201,74.66,99,100,5.26,overcast clouds
155,Virginia Beach,US,36.8529,-75.978,98.02,57,40,13.8,scattered clouds
156,Lamar,US,33.6668,-95.5836,95.52,51,20,5.75,few clouds
157,Natal,BR,-5.795,-35.2094,81.25,69,75,17.27,broken clouds
158,Adrar,MR,20.5022,-10.0711,102.04,11,13,9.8,few clouds
159,Nogales,MX,31.3086,-110.9422,83.71,61,1,3.44,clear sky
160,Nouadhibou,MR,20.931,-17.0347,75.18,73,0,20.71,sand
161,Kargasok,RU,59.0556,80.8572,50.9,71,99,7.34,overcast clouds
162,Avera,US,33.194,-82.5271,95.68,34,43,1.07,scattered clouds
163,Plettenberg Bay,ZA,-34.0527,23.3716,51.48,80,8,8.05,clear sky
164,Longyearbyen,SJ,78.2186,15.6401,44.44,65,75,11.5,broken clouds
165,Rocky Mountain House,CA,52.3668,-114.9188,82.15,36,0,2.3,clear sky
166,Saskylakh,RU,71.9167,114.0833,48.34,73,100,7.25,overcast clouds
167,Kahului,US,20.8947,-156.47,78.82,85,40,9.22,scattered clouds
168,Bengkulu,ID,-3.8004,102.2655,75.24,90,25,4.34,scattered clouds
169,Hami,CN,42.8,93.45,85.46,22,65,8.03,broken clouds
170,Lorengau,PG,-2.0226,147.2712,81.46,76,25,9.4,scattered clouds
171,Kuching,MY,1.55,110.3333,75.42,100,40,0,scattered clouds
172,Khatanga,RU,71.9667,102.5,50.54,80,100,8.68,overcast clouds
173,Logrono,ES,42.4667,-2.45,92.7,27,0,4.61,clear sky
174,Upernavik,GL,72.7868,-56.1549,43.45,93,100,9.64,moderate rain
175,Poronaysk,RU,49.2167,143.1167,53.04,92,100,3.15,overcast clouds
176,Chapais,CA,49.7834,-74.8492,74.98,38,43,11.99,scattered clouds
177,Namibe,AO,-15.1961,12.1522,62.55,87,32,5.44,scattered clouds
178,Panuco,MX,22.05,-98.1667,87.04,42,17,7.47,few clouds
179,Vestmannaeyjar,IS,63.4427,-20.2734,56.39,88,90,9.22,overcast clouds
180,Kitoy,RU,52.6,103.9,58.08,95,100,3.22,overcast clouds
181,Chebsara,RU,59.2002,38.8356,58.33,80,12,13.62,few clouds
182,Sterling,US,39.0062,-77.4286,99.59,49,75,1.99,broken clouds
183,Haljala,EE,59.4336,26.2614,60.8,79,100,6.82,overcast clouds
184,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,83,75,13.8,light intensity drizzle
185,Jumla,NP,29.2747,82.1838,62.91,94,100,0.63,overcast clouds
186,Muroto,JP,33.2833,134.15,79.83,91,100,25.5,light rain
187,Usinsk,RU,65.9939,57.5281,61.29,76,100,12.21,overcast clouds
188,Makakilo City,US,21.3469,-158.0858,80.92,70,1,3.44,clear sky
189,Darnah,LY,32.767,22.6367,79.83,72,0,7.78,clear sky
190,Kailua,US,21.4022,-157.7394,82.38,73,75,13.8,broken clouds
191,Batagay,RU,67.6333,134.6333,58.59,57,100,5.28,overcast clouds
192,Leningradskiy,RU,69.3833,178.4167,41.18,94,100,1.92,overcast clouds
193,Netarhat,IN,23.4833,84.2667,69.55,87,100,3.09,overcast clouds
194,Kazanskaya,RU,45.4106,40.4361,70.3,89,100,5.35,overcast clouds
195,Cherskiy,RU,68.75,161.3,51.44,96,100,9.62,light rain
196,Choma,ZM,-16.8065,26.9531,62.92,31,0,4.36,clear sky
197,Prattville,US,32.464,-86.4597,91.78,59,1,0,clear sky
198,Shibata,JP,37.95,139.3333,71.08,92,100,2.48,overcast clouds
199,Esperance,AU,-33.8667,121.9,40.84,50,42,11.12,scattered clouds
200,Georgetown,MY,5.4112,100.3354,78.89,92,20,3.44,few clouds
201,Umm Lajj,SA,25.0213,37.2685,91.09,46,0,8.57,clear sky
202,Tuatapere,NZ,-46.1333,167.6833,41.83,80,87,16.73,overcast clouds
203,Ambon,ID,-3.6954,128.1814,77.14,94,40,3.44,scattered clouds
204,Jalu,LY,29.0331,21.5482,93.96,23,0,14.09,clear sky
205,Poum,NC,-20.2333,164.0167,69.06,62,10,12.46,clear sky
206,Oussouye,SN,12.485,-16.5469,87.98,81,100,5.57,overcast clouds
207,Olkhovka,RU,53.2115,60.6069,58.87,50,8,2.15,clear sky
208,San Antonio,US,29.4241,-98.4936,95.43,55,20,1.01,few clouds
209,Fairbanks,US,64.8378,-147.7164,56.01,85,75,3,light rain
210,Maxixe,MZ,-23.8597,35.3472,69.62,68,75,18.41,broken clouds
211,Victoria,HK,22.2855,114.1577,85.32,87,100,1.01,overcast clouds
212,Wenatchee,US,47.4235,-120.3103,93.42,36,90,6.91,haze
213,Takoradi,GH,4.8845,-1.7554,76.78,76,100,10.04,overcast clouds
214,Lavrentiya,RU,65.5833,-171,44.26,77,100,7.94,overcast clouds
215,Husavik,IS,66.0449,-17.3389,55.31,80,100,7.83,overcast clouds
216,Kenai,US,60.5544,-151.2583,58.14,81,40,4.61,scattered clouds
217,Mayo,US,38.8876,-76.5119,100.2,64,25,1.99,scattered clouds
218,Paka,MY,4.6374,103.4368,78.73,94,100,0,overcast clouds
219,Mahebourg,MU,-20.4081,57.7,68.25,88,20,6.91,few clouds
220,Zhigansk,RU,66.7697,123.3711,49.64,91,100,15.12,overcast clouds
221,Sinnamary,GF,5.3833,-52.95,81.86,81,58,10.67,broken clouds
222,Bahia Blanca,AR,-38.7196,-62.2724,61.86,32,0,13.51,clear sky
223,Port Jervis,US,41.3751,-74.6927,95.32,63,41,5.26,scattered clouds
224,Alexandria,EG,31.2156,29.9553,81.14,78,40,9.22,scattered clouds
225,Haines Junction,CA,60.7522,-137.5108,55.35,94,100,2.3,moderate rain
226,Amahai,ID,-3.3333,128.9167,76.6,88,20,2.95,few clouds
227,Hasaki,JP,35.7333,140.8333,77.4,93,100,28.74,heavy intensity rain
